หน่วย,ชื่อหน่วยเลือกตั้ง,ตำบล,latitude,longitude,ผู้มีสิทธิ์_แบ่งเขต,ผู้มาใช้สิทธิ์_แบ่งเขต,เปอร์เซ็นต์ใช้สิทธิ์_แบ่งเขต,บัตรเสีย_แบ่งเขต,ไม่เลือกผู้ใด_แบ่งเขต,ก้าวไกล_แบ่งเขต,ชาติพัฒนากล้า_แบ่งเขต,ชาติไทยพัฒนา_แบ่งเขต,ประชาชาติ_แบ่งเขต,ประชาธิปัตย์_แบ่งเขต,พลังประชารัฐ_แบ่งเขต,ภูมิใจไทย_แบ่งเขต,รวมไทยสร้างชาติ_แบ่งเขต,เพื่อไทย_แบ่งเขต,เสรีรวมไทย_แบ่งเขต,ไทยสร้างไทย_แบ่งเขต
1,"ศาลาการเปรียญวัดเลียบ",ท่างาม,14.0075133,101.4439926,735,586,79.73,27,21,188,0,0,0,4,66,195,27,44,7,4
2,"อาคารอเนกประสงค์ องค์การบริหารส่วนตำบลท่างาม",ท่างาม,14.0246773,101.4038885,741,588,79.35,30,15,142,0,0,0,3,61,239,17,76,2,3
3,"ศาลาการเปรียญวัดกระแจะ",ท่างาม,14.0325596,101.3856198,554,465,83.94,21,11,90,0,0,0,6,73,199,14,44,1,2
4,"อาคารโรงเรียนวัดหาดสะแก",ท่างาม,14.0071029,101.4455032,730,583,79.86,14,20,173,0,0,0,1,12,251,19,85,2,2
5,"อาคารตึกโรงพยาบาลเจ้าพระยาอภัยภูเบศร",ท่างาม,14.0543455,101.3957653,504,382,75.79,13,25,134,0,0,0,10,47,35,57,54,2,5
6,"อาคารตึกโรงพยาบาลเจ้าพระยาอภัยภูเบศร",ท่างาม,14.0543455,101.3957653,579,462,79.79,6,37,204,0,0,0,11,27,71,48,49,5,3
1,"ศาลาการเปรียญวัดสมบูรณ์ทรัพย์",บางขาม,13.8873791,101.2573047,833,702,84.27,22,12,164,0,0,0,0,5,400,7,86,4,1
2,"ศาลาประชาคมบ้านปากชวด",บางขาม,13.8842601,101.2986111,602,435,72.26,9,10,100,0,0,0,1,1,230,10,65,1,5
1,"โรงจอดรถ องค์การบริหารส่วนตำบลบางยาง",บางยาง,13.9208946,101.1902268,531,433,81.54,16,3,93,0,0,0,2,4,243,12,53,2,5
2,"ศาลาการเปรียญวัดอินทาราม",บางยาง,13.9519135,101.1701478,727,571,78.54,16,8,109,0,0,0,0,3,315,5,110,1,0
3,"ศาลาประชาคม หมู่ที่ 7",บางยาง,13.9241774,101.1701571,518,403,77.80,21,6,75,0,0,0,1,3,221,4,69,0,3
4,"ศาลาการเปรียญวัดเทพพิทักษ์บุญญาราม",บางยาง,13.9232631,101.2473865,502,406,80.88,32,6,86,0,0,0,0,2,181,9,85,1,3
